"Time","Source","Destiny","SrcPort","DstPort","Protocol","Frame","Ack"
"1.168803","192.168.121.10","192.168.122.20","55956","21","FTP","88",""
"1.176054","192.168.121.10","192.168.122.20","55956","21","FTP","89",""
"1.176416","192.168.122.20","192.168.121.10","21","55956","TCP","90","89"
"1.176444","192.168.121.10","192.168.122.20","55956","21","FTP","91",""
"1.182741","192.168.121.10","192.168.122.20","55956","21","FTP","92",""
"1.183678","192.168.122.20","192.168.121.10","21","55956","TCP","93","92"
"1.183730","192.168.121.10","192.168.122.20","55956","21","FTP","94",""
"1.184305","192.168.122.20","192.168.121.10","21","55956","TCP","95","94"
"1.184329","192.168.121.10","192.168.122.20","55956","21","FTP","96",""
"1.185422","192.168.122.20","192.168.121.10","21","55956","TCP","97","96"
"1.185441","192.168.121.10","192.168.122.20","55956","21","FTP","98",""
"1.186475","192.168.122.20","192.168.121.10","21","55956","TCP","99","98"
"1.186582","192.168.121.10","192.168.122.20","55956","21","FTP","100",""
"1.187077","192.168.122.20","192.168.121.10","21","55956","TCP","101","100"
"1.187302","192.168.121.10","192.168.122.20","55956","21","FTP","102",""
"1.187531","192.168.122.20","192.168.121.10","21","55956","TCP","103","102"
"1.188368","192.168.121.10","192.168.122.20","55956","21","FTP","104",""
"1.194932","192.168.121.10","192.168.122.20","55956","21","FTP","105",""
"1.195136","192.168.122.20","192.168.121.10","21","55956","TCP","106","105"
"1.195145","192.168.121.10","192.168.122.20","55956","21","FTP","107",""
"1.195369","192.168.122.20","192.168.121.10","21","55956","TCP","108","107"
"1.196019","192.168.121.10","192.168.122.20","55956","21","FTP","109",""
"1.196182","192.168.122.20","192.168.121.10","21","55956","TCP","110","109"
"1.197100","192.168.121.10","192.168.122.20","55956","21","FTP","111",""
"1.203884","192.168.121.10","192.168.122.20","55956","21","FTP","112",""
"1.204232","192.168.122.20","192.168.121.10","21","55956","TCP","113",""
"1.206255","192.168.121.10","192.168.122.20","55956","21","FTP","114",""
"1.206516","192.168.122.20","192.168.121.10","21","55956","TCP","115","112"
"1.206529","192.168.121.10","192.168.122.20","55956","21","FTP","116",""
"1.212723","192.168.121.10","192.168.122.20","55956","21","FTP","117",""
"1.213046","192.168.122.20","192.168.121.10","21","55956","TCP","118","117"
"1.213056","192.168.121.10","192.168.122.20","55956","21","FTP","119",""
"1.213313","192.168.122.20","192.168.121.10","21","55956","TCP","120","119"
"1.213806","192.168.121.10","192.168.122.20","55956","21","FTP","121",""
"1.213952","192.168.122.20","192.168.121.10","21","55956","TCP","122","121"
"1.214886","192.168.121.10","192.168.122.20","55956","21","FTP","123",""
"1.215049","192.168.122.20","192.168.121.10","21","55956","TCP","124","123"
"1.215970","192.168.121.10","192.168.122.20","55956","21","FTP","125",""
"1.216106","192.168.122.20","192.168.121.10","21","55956","TCP","126","125"
"1.217049","192.168.121.10","192.168.122.20","55956","21","FTP","127",""
"1.218475","192.168.122.20","192.168.121.10","21","55956","TCP","128","127"
"1.218549","192.168.121.10","192.168.122.20","55956","21","FTP","129",""
"1.218937","192.168.122.20","192.168.121.10","21","55956","TCP","130","129"
"1.219428","192.168.121.10","192.168.122.20","55956","21","FTP","131",""
"1.219758","192.168.122.20","192.168.121.10","21","55956","TCP","132","131"
"1.220508","192.168.121.10","192.168.122.20","55956","21","FTP","133",""
"1.220670","192.168.122.20","192.168.121.10","21","55956","TCP","134","133"
"1.221593","192.168.121.10","192.168.122.20","55956","21","FTP","135",""
"1.221731","192.168.122.20","192.168.121.10","21","55956","TCP","136","135"
"1.222685","192.168.121.10","192.168.122.20","55956","21","FTP","137",""
"1.229179","192.168.121.10","192.168.122.20","55956","21","FTP","138",""
"1.229478","192.168.122.20","192.168.121.10","21","55956","TCP","139","138"
"1.229490","192.168.121.10","192.168.122.20","55956","21","FTP","140",""
"1.229694","192.168.122.20","192.168.121.10","21","55956","TCP","141","140"
"1.230273","192.168.121.10","192.168.122.20","55956","21","FTP","142",""
"1.236829","192.168.121.10","192.168.122.20","55956","21","FTP","143",""
"1.237122","192.168.122.20","192.168.121.10","21","55956","TCP","144",""
"1.238280","192.168.121.10","192.168.122.20","55956","21","FTP","145",""
"1.238646","192.168.122.20","192.168.121.10","21","55956","TCP","146","143"
"1.238655","192.168.121.10","192.168.122.20","55956","21","FTP","147",""
"1.238801","192.168.122.20","192.168.121.10","21","55956","TCP","148","147"
"1.238986","192.168.121.10","192.168.122.20","55956","21","FTP","149",""
"1.239097","192.168.122.20","192.168.121.10","21","55956","TCP","150","149"
"1.240073","192.168.121.10","192.168.122.20","55956","21","FTP","151",""
"1.240210","192.168.122.20","192.168.121.10","21","55956","TCP","152","151"
"1.241155","192.168.121.10","192.168.122.20","55956","21","FTP","153",""
"1.241282","192.168.122.20","192.168.121.10","21","55956","TCP","154","153"
"1.242251","192.168.121.10","192.168.122.20","55956","21","FTP","155",""
"1.242435","192.168.122.20","192.168.121.10","21","55956","TCP","156","155"
"1.243341","192.168.121.10","192.168.122.20","55956","21","FTP","157",""
"1.243585","192.168.122.20","192.168.121.10","21","55956","TCP","158","157"
"1.244436","192.168.121.10","192.168.122.20","55956","21","FTP","159",""
"1.244601","192.168.122.20","192.168.121.10","21","55956","TCP","160","159"
"1.245518","192.168.121.10","192.168.122.20","55956","21","FTP","161",""
"1.245651","192.168.122.20","192.168.121.10","21","55956","TCP","162","161"
"1.246611","192.168.121.10","192.168.122.20","55956","21","FTP","163",""
"1.253102","192.168.121.10","192.168.122.20","55956","21","FTP","164",""
"1.262286","192.168.121.10","192.168.122.20","55956","21","FTP","165",""
"1.466299","192.168.121.10","192.168.122.20","55956","21","FTP","166",""
"1.466790","192.168.122.20","192.168.121.10","21","55956","TCP","167","165"
"1.466807","192.168.121.10","192.168.122.20","55956","21","FTP","168",""
"1.466818","192.168.121.10","192.168.122.20","55956","21","FTP","169",""
"1.467202","192.168.122.20","192.168.121.10","21","55956","TCP","170","168"
"1.467212","192.168.121.10","192.168.122.20","55956","21","FTP","171",""
"1.467462","192.168.122.20","192.168.121.10","21","55956","TCP","172",""
"1.467478","192.168.121.10","192.168.122.20","55956","21","FTP","173",""
"1.467614","192.168.122.20","192.168.121.10","21","55956","TCP","174",""
"1.467620","192.168.121.10","192.168.122.20","55956","21","FTP","175",""
"1.694283","192.168.121.10","192.168.122.20","55956","21","FTP","176",""
"1.694713","192.168.122.20","192.168.121.10","21","55956","TCP","177","173"
"1.694744","192.168.121.10","192.168.122.20","55956","21","FTP","178",""
"1.694859","192.168.121.10","192.168.122.20","55956","21","FTP","179",""
"1.695315","192.168.122.20","192.168.121.10","21","55956","TCP","180",""
"1.695333","192.168.121.10","192.168.122.20","55956","21","FTP","181",""
"1.695423","192.168.122.20","192.168.121.10","21","55956","TCP","182",""
"1.695442","192.168.121.10","192.168.122.20","55956","21","FTP","183",""
"1.696145","192.168.122.20","192.168.121.10","21","55956","TCP","184",""
"1.696169","192.168.121.10","192.168.122.20","55956","21","FTP","185",""
"1.696382","192.168.122.20","192.168.121.10","21","55956","TCP","186",""
"1.696393","192.168.121.10","192.168.122.20","55956","21","FTP","187",""
"1.696561","192.168.122.20","192.168.121.10","21","55956","TCP","188",""
"1.696570","192.168.121.10","192.168.122.20","55956","21","FTP","189",""
"1.696581","192.168.121.10","192.168.122.20","55956","21","FTP","190",""
"1.696765","192.168.122.20","192.168.121.10","21","55956","TCP","191","187"
"1.696777","192.168.121.10","192.168.122.20","55956","21","FTP","192",""
"1.696856","192.168.122.20","192.168.121.10","21","55956","TCP","193","190"
"1.696862","192.168.121.10","192.168.122.20","55956","21","FTP","194",""
"1.696987","192.168.122.20","192.168.121.10","21","55956","TCP","195","194"
"1.696996","192.168.121.10","192.168.122.20","55956","21","FTP","196",""
"1.697018","192.168.121.10","192.168.122.20","55956","21","FTP","197",""
"1.697191","192.168.122.20","192.168.121.10","21","55956","TCP","198","197"
"1.697199","192.168.121.10","192.168.122.20","55956","21","FTP","199",""
"1.697221","192.168.121.10","192.168.122.20","55956","21","FTP","200",""
"1.697336","192.168.122.20","192.168.121.10","21","55956","TCP","201","200"
"1.697341","192.168.121.10","192.168.122.20","55956","21","FTP","202",""
"1.697347","192.168.121.10","192.168.122.20","55956","21","FTP","203",""
"1.697504","192.168.122.20","192.168.121.10","21","55956","TCP","204","203"
"1.697509","192.168.121.10","192.168.122.20","55956","21","FTP","205",""
"1.697515","192.168.121.10","192.168.122.20","55956","21","FTP","206",""
"1.697674","192.168.122.20","192.168.121.10","21","55956","TCP","207","206"
"1.697694","192.168.121.10","192.168.122.20","55956","21","FTP","208",""
"1.697770","192.168.121.10","192.168.122.20","55956","21","FTP","209",""
"1.697952","192.168.122.20","192.168.121.10","21","55956","TCP","210",""
"1.697962","192.168.121.10","192.168.122.20","55956","21","FTP","211",""
"1.698150","192.168.122.20","192.168.121.10","21","55956","TCP","212",""
"1.698160","192.168.121.10","192.168.122.20","55956","21","FTP","213",""
"1.698311","192.168.122.20","192.168.121.10","21","55956","TCP","214",""
"1.698320","192.168.121.10","192.168.122.20","55956","21","FTP","215",""
"1.699104","192.168.122.20","192.168.121.10","21","55956","TCP","216","213"
"1.699158","192.168.121.10","192.168.122.20","55956","21","FTP","217",""
"1.699203","192.168.121.10","192.168.122.20","55956","21","FTP","218",""
"1.699474","192.168.122.20","192.168.121.10","21","55956","TCP","219","218"
"1.699484","192.168.121.10","192.168.122.20","55956","21","FTP","220",""
"1.699493","192.168.121.10","192.168.122.20","55956","21","FTP","221",""
"1.699678","192.168.122.20","192.168.121.10","21","55956","TCP","222","221"
"1.699686","192.168.121.10","192.168.122.20","55956","21","FTP","223",""
"1.699694","192.168.121.10","192.168.122.20","55956","21","FTP","224",""
"1.699871","192.168.122.20","192.168.121.10","21","55956","TCP","225","224"
"1.699879","192.168.121.10","192.168.122.20","55956","21","FTP","226",""
"1.699888","192.168.121.10","192.168.122.20","55956","21","FTP","227",""
"1.700097","192.168.122.20","192.168.121.10","21","55956","TCP","228","226"
"1.700105","192.168.121.10","192.168.122.20","55956","21","FTP","229",""
"1.700229","192.168.122.20","192.168.121.10","21","55956","TCP","230",""
"1.700236","192.168.121.10","192.168.122.20","55956","21","FTP","231",""
"1.700350","192.168.122.20","192.168.121.10","21","55956","TCP","232",""
"1.700356","192.168.121.10","192.168.122.20","55956","21","FTP","233",""
"1.700471","192.168.122.20","192.168.121.10","21","55956","TCP","234",""
"1.700476","192.168.121.10","192.168.122.20","55956","21","FTP","235",""
"1.700597","192.168.122.20","192.168.121.10","21","55956","TCP","236","233"
"1.700604","192.168.121.10","192.168.122.20","55956","21","FTP","237",""
"1.700625","192.168.121.10","192.168.122.20","55956","21","FTP","238",""
"1.700743","192.168.122.20","192.168.121.10","21","55956","TCP","239","237"
"1.700749","192.168.121.10","192.168.122.20","55956","21","FTP","240",""
"1.700876","192.168.122.20","192.168.121.10","21","55956","TCP","241",""
"1.700881","192.168.121.10","192.168.122.20","55956","21","FTP","242",""
"1.700999","192.168.122.20","192.168.121.10","21","55956","TCP","243",""
"1.701004","192.168.121.10","192.168.122.20","55956","21","FTP","244",""
"1.701126","192.168.122.20","192.168.121.10","21","55956","TCP","245",""
"1.701133","192.168.121.10","192.168.122.20","55956","21","FTP","246",""
"1.902277","192.168.121.10","192.168.122.20","55956","21","FTP","247",""
"2.000202","fe:54:00:9b:0a:6d","Spanning-tree-(for-bridges)_00","","","STP","248",""
"2.310271","192.168.121.10","192.168.122.20","55956","21","FTP","249",""
"2.310674","192.168.122.20","192.168.121.10","21","55956","TCP","250","244"
"2.310706","192.168.121.10","192.168.122.20","55956","21","FTP","251",""
"2.310729","192.168.121.10","192.168.122.20","55956","21","FTP","252",""
"2.310984","192.168.122.20","192.168.121.10","21","55956","TCP","253","252"
"2.310992","192.168.121.10","192.168.122.20","55956","21","FTP","254",""
"2.310999","192.168.121.10","192.168.122.20","55956","21","FTP","255",""
"2.311127","192.168.122.20","192.168.121.10","21","55956","TCP","256","255"
"2.311133","192.168.121.10","192.168.122.20","55956","21","FTP","257",""
"2.311142","192.168.121.10","192.168.122.20","55956","21","FTP","258",""
"2.311239","192.168.122.20","192.168.121.10","21","55956","TCP","259","258"
"2.311244","192.168.121.10","192.168.122.20","55956","21","FTP","260",""
"2.311251","192.168.121.10","192.168.122.20","55956","21","FTP","261",""
"2.322320","192.168.121.10","192.168.122.20","55956","21","FTP","262",""
"2.322807","192.168.122.20","192.168.121.10","21","55956","TCP","263","262"
"2.322825","192.168.121.10","192.168.122.20","55956","21","FTP","264",""
"2.322834","192.168.121.10","192.168.122.20","55956","21","FTP","265",""
"2.323060","192.168.122.20","192.168.121.10","21","55956","TCP","266",""
"2.323072","192.168.121.10","192.168.122.20","55956","21","FTP","267",""
"2.323267","192.168.122.20","192.168.121.10","21","55956","TCP","268",""
"2.323277","192.168.121.10","192.168.122.20","55956","21","FTP","269",""
"2.323438","192.168.122.20","192.168.121.10","21","55956","TCP","270",""
"2.323447","192.168.121.10","192.168.122.20","55956","21","FTP","271",""
"2.323634","192.168.122.20","192.168.121.10","21","55956","TCP","272","269"
"2.323644","192.168.121.10","192.168.122.20","55956","21","FTP","273",""
"2.323654","192.168.121.10","192.168.122.20","55956","21","FTP","274",""
"2.334284","192.168.121.10","192.168.122.20","55956","21","FTP","275",""
"2.334653","192.168.122.20","192.168.121.10","21","55956","TCP","276","273"
"2.334669","192.168.121.10","192.168.122.20","55956","21","FTP","277",""
"2.538267","192.168.121.10","192.168.122.20","55956","21","FTP","278",""
"2.538806","192.168.122.20","192.168.121.10","21","55956","TCP","279","275"
"2.538853","192.168.121.10","192.168.122.20","55956","21","FTP","280",""
"2.538872","192.168.121.10","192.168.122.20","55956","21","FTP","281",""
"2.539166","192.168.122.20","192.168.121.10","21","55956","TCP","282",""
"2.539178","192.168.121.10","192.168.122.20","55956","21","FTP","283",""
"2.539374","192.168.122.20","192.168.121.10","21","55956","TCP","284","281"
"2.539383","192.168.121.10","192.168.122.20","55956","21","FTP","285",""
"2.539391","192.168.121.10","192.168.122.20","55956","21","FTP","286",""
