Time,Source,Destiny,SrcPort,DstPort,Protocol,Frame,Ack
1.106647,1,192.168.121.10,21,55956,TCP,16,15
1.107106,1,192.168.121.10,21,55956,TCP,19,18
1.108272,1,192.168.121.10,21,55956,TCP,21,20
1.109439,1,192.168.121.10,21,55956,TCP,23,22
1.113007,1,192.168.121.10,21,55956,TCP,25,24
1.115576,1,192.168.121.10,21,55956,TCP,27,26
1.118468,1,192.168.121.10,21,55956,TCP,29,28
1.119380,1,192.168.121.10,21,55956,TCP,31,30
1.120352,1,192.168.121.10,21,55956,TCP,33,32
1.121482,1,192.168.121.10,21,55956,TCP,35,34
1.122598,1,192.168.121.10,21,55956,TCP,37,36
1.123642,1,192.168.121.10,21,55956,TCP,39,38
1.131447,1,192.168.121.10,21,55956,TCP,42,41
1.131694,1,192.168.121.10,21,55956,TCP,44,43
1.133156,1,192.168.121.10,21,55956,TCP,46,45
1.133411,1,192.168.121.10,21,55956,TCP,48,47
1.134734,1,192.168.121.10,21,55956,TCP,50,49
1.136044,1,192.168.121.10,21,55956,TCP,52,51
1.138742,1,192.168.121.10,21,55956,TCP,54,53
1.140715,1,192.168.121.10,21,55956,TCP,56,55
1.140950,1,192.168.121.10,21,55956,TCP,58,57
1.141798,1,192.168.121.10,21,55956,TCP,60,59
1.142796,1,192.168.121.10,21,55956,TCP,63,62
1.143878,1,192.168.121.10,21,55956,TCP,65,64
1.151757,1,192.168.121.10,21,55956,TCP,68,67
1.151892,1,192.168.121.10,21,55956,TCP,70,69
1.152690,1,192.168.121.10,21,55956,TCP,72,71
1.160946,1,192.168.121.10,21,55956,TCP,75,
1.162531,1,192.168.121.10,21,55956,TCP,77,74
1.164701,1,192.168.121.10,21,55956,TCP,79,78
1.165292,1,192.168.121.10,21,55956,TCP,81,80
1.165853,1,192.168.121.10,21,55956,TCP,83,82
1.166716,1,192.168.121.10,21,55956,TCP,85,84
1.168768,1,192.168.121.10,21,55956,TCP,87,86
1.176416,1,192.168.121.10,21,55956,TCP,90,89
1.183678,1,192.168.121.10,21,55956,TCP,93,92
1.184305,1,192.168.121.10,21,55956,TCP,95,94
1.185422,1,192.168.121.10,21,55956,TCP,97,96
1.186475,1,192.168.121.10,21,55956,TCP,99,98
1.187077,1,192.168.121.10,21,55956,TCP,101,100
1.187531,1,192.168.121.10,21,55956,TCP,103,102
1.195136,1,192.168.121.10,21,55956,TCP,106,105
1.195369,1,192.168.121.10,21,55956,TCP,108,107
1.196182,1,192.168.121.10,21,55956,TCP,110,109
1.204232,1,192.168.121.10,21,55956,TCP,113,
1.206516,1,192.168.121.10,21,55956,TCP,115,112
1.213046,1,192.168.121.10,21,55956,TCP,118,117
1.213313,1,192.168.121.10,21,55956,TCP,120,119
1.213952,1,192.168.121.10,21,55956,TCP,122,121
1.215049,1,192.168.121.10,21,55956,TCP,124,123
1.216106,1,192.168.121.10,21,55956,TCP,126,125
1.218475,1,192.168.121.10,21,55956,TCP,128,127
1.218937,1,192.168.121.10,21,55956,TCP,130,129
1.219758,1,192.168.121.10,21,55956,TCP,132,131
1.220670,1,192.168.121.10,21,55956,TCP,134,133
1.221731,1,192.168.121.10,21,55956,TCP,136,135
1.229478,1,192.168.121.10,21,55956,TCP,139,138
1.229694,1,192.168.121.10,21,55956,TCP,141,140
1.237122,1,192.168.121.10,21,55956,TCP,144,
1.238646,1,192.168.121.10,21,55956,TCP,146,143
1.238801,1,192.168.121.10,21,55956,TCP,148,147
1.239097,1,192.168.121.10,21,55956,TCP,150,149
1.240210,1,192.168.121.10,21,55956,TCP,152,151
1.241282,1,192.168.121.10,21,55956,TCP,154,153
1.242435,1,192.168.121.10,21,55956,TCP,156,155
1.243585,1,192.168.121.10,21,55956,TCP,158,157
1.244601,1,192.168.121.10,21,55956,TCP,160,159
1.245651,1,192.168.121.10,21,55956,TCP,162,161
1.466790,1,192.168.121.10,21,55956,TCP,167,165
1.467202,1,192.168.121.10,21,55956,TCP,170,168
1.467462,1,192.168.121.10,21,55956,TCP,172,
1.467614,1,192.168.121.10,21,55956,TCP,174,
1.694713,1,192.168.121.10,21,55956,TCP,177,173
1.695315,1,192.168.121.10,21,55956,TCP,180,
1.695423,1,192.168.121.10,21,55956,TCP,182,
1.696145,1,192.168.121.10,21,55956,TCP,184,
1.696382,1,192.168.121.10,21,55956,TCP,186,
1.696561,1,192.168.121.10,21,55956,TCP,188,
1.696765,1,192.168.121.10,21,55956,TCP,191,187
1.696856,1,192.168.121.10,21,55956,TCP,193,190
1.696987,1,192.168.121.10,21,55956,TCP,195,194
1.697191,1,192.168.121.10,21,55956,TCP,198,197
1.697336,1,192.168.121.10,21,55956,TCP,201,200
1.697504,1,192.168.121.10,21,55956,TCP,204,203
1.697674,1,192.168.121.10,21,55956,TCP,207,206
1.697952,1,192.168.121.10,21,55956,TCP,210,
1.698150,1,192.168.121.10,21,55956,TCP,212,
1.698311,1,192.168.121.10,21,55956,TCP,214,
1.699104,1,192.168.121.10,21,55956,TCP,216,213
1.699474,1,192.168.121.10,21,55956,TCP,219,218
1.699678,1,192.168.121.10,21,55956,TCP,222,221
1.699871,1,192.168.121.10,21,55956,TCP,225,224
1.700097,1,192.168.121.10,21,55956,TCP,228,226
1.700229,1,192.168.121.10,21,55956,TCP,230,
1.700350,1,192.168.121.10,21,55956,TCP,232,
1.700471,1,192.168.121.10,21,55956,TCP,234,
1.700597,1,192.168.121.10,21,55956,TCP,236,233
1.700743,1,192.168.121.10,21,55956,TCP,239,237
1.700876,1,192.168.121.10,21,55956,TCP,241,
1.700999,1,192.168.121.10,21,55956,TCP,243,
1.701126,1,192.168.121.10,21,55956,TCP,245,
2.310674,1,192.168.121.10,21,55956,TCP,250,244
2.310984,1,192.168.121.10,21,55956,TCP,253,252
2.311127,1,192.168.121.10,21,55956,TCP,256,255
2.311239,1,192.168.121.10,21,55956,TCP,259,258
2.322807,1,192.168.121.10,21,55956,TCP,263,262
2.323060,1,192.168.121.10,21,55956,TCP,266,
2.323267,1,192.168.121.10,21,55956,TCP,268,
2.323438,1,192.168.121.10,21,55956,TCP,270,
2.323634,1,192.168.121.10,21,55956,TCP,272,269
2.334653,1,192.168.121.10,21,55956,TCP,276,273
2.538806,1,192.168.121.10,21,55956,TCP,279,275
2.539166,1,192.168.121.10,21,55956,TCP,282,
2.539374,1,192.168.121.10,21,55956,TCP,284,281
2.539522,1,192.168.121.10,21,55956,TCP,287,285
2.754775,1,192.168.121.10,21,55956,TCP,291,288
2.755064,1,192.168.121.10,21,55956,TCP,293,
2.755292,1,192.168.121.10,21,55956,TCP,295,
2.755467,1,192.168.121.10,21,55956,TCP,297,
2.755614,1,192.168.121.10,21,55956,TCP,299,296
2.766587,1,192.168.121.10,21,55956,TCP,303,302
2.766818,1,192.168.121.10,21,55956,TCP,306,304
2.766975,1,192.168.121.10,21,55956,TCP,308,
2.767111,1,192.168.121.10,21,55956,TCP,310,
2.767234,1,192.168.121.10,21,55956,TCP,312,
2.970915,1,192.168.121.10,21,55956,TCP,315,311
3.026930,1,192.168.121.10,21,55956,TCP,319,
3.027366,1,192.168.121.10,21,55956,TCP,321,
3.027598,1,192.168.121.10,21,55956,TCP,323,320
3.027785,1,192.168.121.10,21,55956,TCP,326,324
3.027810,1,192.168.121.10,21,55956,TCP,329,325
3.028094,1,192.168.121.10,21,55956,TCP,332,327
3.028133,1,192.168.121.10,21,55956,TCP,335,
3.028155,1,192.168.121.10,21,55956,TCP,337,330
3.028165,1,192.168.121.10,21,55956,TCP,339,331
3.028536,1,192.168.121.10,21,55956,TCP,341,333
3.028579,1,192.168.121.10,21,55956,TCP,344,
3.028596,1,192.168.121.10,21,55956,TCP,346,
3.028615,1,192.168.121.10,21,55956,TCP,349,334
3.028951,1,192.168.121.10,21,55956,TCP,351,
3.028985,1,192.168.121.10,21,55956,TCP,353,
3.028999,1,192.168.121.10,21,55956,TCP,355,
3.029241,1,192.168.121.10,21,55956,TCP,357,350
3.029520,1,192.168.121.10,21,55956,TCP,361,
3.029554,1,192.168.121.10,21,55956,TCP,364,
3.029820,1,192.168.121.10,21,55956,TCP,366,354
3.029855,1,192.168.121.10,21,55956,TCP,369,365
3.030103,1,192.168.121.10,21,55956,TCP,371,
3.030133,1,192.168.121.10,21,55956,TCP,373,359
3.030154,1,192.168.121.10,21,55956,TCP,375,
3.030397,1,192.168.121.10,21,55956,TCP,377,
3.030425,1,192.168.121.10,21,55956,TCP,379,
3.030443,1,192.168.121.10,21,55956,TCP,381,374
3.030733,1,192.168.121.10,21,55956,TCP,383,378
3.030763,1,192.168.121.10,21,55956,TCP,385,
3.030788,1,192.168.121.10,21,55956,TCP,388,382
3.031054,1,192.168.121.10,21,55956,TCP,390,384
3.031091,1,192.168.121.10,21,55956,TCP,392,
3.031113,1,192.168.121.10,21,55956,TCP,394,389
3.031355,1,192.168.121.10,21,55956,TCP,396,391
3.031651,1,192.168.121.10,21,55956,TCP,398,393
3.031726,1,192.168.121.10,21,55956,TCP,400,395
3.031794,1,192.168.121.10,21,55956,TCP,402,397
3.032027,1,192.168.121.10,21,55956,TCP,404,399
3.032179,1,192.168.121.10,21,55956,TCP,406,401
3.035816,1,192.168.121.10,21,55956,TCP,408,407
3.036412,1,192.168.121.10,21,55956,TCP,410,409
3.037066,1,192.168.121.10,21,55956,TCP,412,411
3.038055,1,192.168.121.10,21,55956,TCP,414,413
3.039318,1,192.168.121.10,21,55956,TCP,416,415
3.040419,1,192.168.121.10,21,55956,TCP,418,417
3.041409,1,192.168.121.10,21,55956,TCP,420,419
3.042477,1,192.168.121.10,21,55956,TCP,422,421
3.043662,1,192.168.121.10,21,55956,TCP,424,423
3.067366,1,192.168.121.10,21,55956,TCP,428,
3.072897,1,192.168.121.10,21,55956,TCP,430,
3.073316,1,192.168.121.10,21,55956,TCP,432,425
3.073767,1,192.168.121.10,21,55956,TCP,435,
